Date,Username,Stage,Content,Link,isHero
"2022-01-25,19:44:45",FryingHamster,3,brb,,
"2022-01-25,21:47:47",FryingHamster,3,hang on ill make a quick doodle,,
"2022-01-25,21:47:59",Fluffel,3,okok,,
"2022-01-25,21:53:28",FryingHamster,3,wait a sec,,
"2022-01-25,21:53:35",FryingHamster,3,what medium are you doing this with,,
"2022-01-25,21:54:33",Fluffel,3,"fineliner, doing the pencil sketch rn",,
"2022-01-25,21:55:38",FryingHamster,3,so just black and white,,
"2022-01-25,21:55:52",Fluffel,3,i might do a bit of color for the rope,,
"2022-01-25,21:57:27",FryingHamster,3,what direction are the faces looking in your sketch?,,
"2022-01-25,21:57:33",FryingHamster,3,have they noticed the MC yet?,,
"2022-01-25,21:57:58",Fluffel,3,"they aren't supposed to notice the MC, only the people actually in the rope do",,
"2022-01-25,22:02:24",FryingHamster,3,,https://cdn.discordapp.com/attachments/746160858555613356/935731374755815524/Untitled_Artwork_2.jpg,FALSE
"2022-01-25,22:02:24",FryingHamster,3,i like the subtlety of your current composition but you might need to make things more blatantly obvious,,
"2022-01-25,22:02:45",FryingHamster,3,right now i couldn't tell the difference bt the rope people and the crowd below,,
"2022-01-25,22:02:52",Fluffel,3,ohhh okok,,
"2022-01-25,22:02:53",FryingHamster,3,they just form a collective crowd,,
"2022-01-25,22:03:05",FryingHamster,3,think of it like this,,
"2022-01-25,22:03:17",Fluffel,3,i could make crowd ppl look a bit obv,,
"2022-01-25,22:03:23",FryingHamster,3,"i should be able to get a message out of it standing 5 feet away, not just looking closely at it",,
"2022-01-25,22:03:26",FryingHamster,3,^^^,,
"2022-01-25,22:04:00",Fluffel,3,but at the same time i wanna make only the ppl in the rope obvious because,,
"2022-01-25,22:04:43",Fluffel,3,i kind of wanted the message to be like believing people are mocking you when they aren't,,
"2022-01-25,22:04:45",Fluffel,3,stuff like that,,
"2022-01-25,22:06:24",FryingHamster,3,"maybe a tightrope isn't the best metaphor then. Because right now, the rope is the only thing holding your MC up, and it seems like the way they are metaphorically surviving is by continuing to walk the tightrope? i'm not sure why the crowd below isn't scarier",,
"2022-01-25,22:07:23",Fluffel,3,ohhhh trutru,,
"2022-01-25,22:07:58",Fluffel,3,i'd make the crowd scarier then lol,,
"2022-01-25,22:08:06",Fluffel,3,rip gonna die drawing more,,
"2022-01-25,22:08:23",FryingHamster,3,man just try the style of the drunk MV,,
"2022-01-25,22:08:39",FryingHamster,3,i personally think having a void and just those faces as white would look great,,
"2022-01-25,22:09:02",Fluffel,3,ooooh wait,,
"2022-01-25,22:09:03",Fluffel,3,what if,,
"2022-01-25,22:09:04",Fluffel,3,what if,,
"2022-01-25,22:09:07",Fluffel,3,i made them all wear like,,
"2022-01-25,22:09:09",Fluffel,3,opera masks,,
"2022-01-25,22:09:23",FryingHamster,3,yeah i was trying to hint at that in the doodle LOL,,
"2022-01-25,22:09:38",Fluffel,3,lmaoooo,,
"2022-01-25,22:09:40",Fluffel,3,okok tyy,,
"2022-01-25,22:09:59",Fluffel,3,honestly i feel like making the crowd feel like a void,,
"2022-01-25,22:10:00",Fluffel,3,like,,
"2022-01-25,22:10:09",Fluffel,3,"make the overall tone darker, like it's all in shadow",,
"2022-01-25,22:10:23",FryingHamster,3,yeah for sure,,
"2022-01-25,22:10:30",Fluffel,3,okok tyyy,,
"2022-01-25,22:10:38",Fluffel,3,i have a more solid idea then lolol,,
"2022-01-25,22:10:47",FryingHamster,3,"just try it at this point, I know you can crank out a rough value thumbnail in no time",,
"2022-01-25,22:11:10",Fluffel,3,"ill do that, ill add in opera masks and then i'll do a value thumb lol",,
"2022-01-25,22:11:13",Fluffel,3,like,,
"2022-01-25,22:11:19",Fluffel,3,somewhat remake the faces on a few,,
"2022-01-25,22:39:50",Fluffel,4,,https://cdn.discordapp.com/attachments/746160858555613356/935740793111580753/PXL_20220126_033926780.jpg,TRUE
"2022-01-25,22:39:50",Fluffel,4,Something closer to this?,,
"2022-01-25,22:39:56",Fluffel,4,I feel like I want to make it feel like a spotlight,,
"2022-01-25,22:40:03",Fluffel,4,Almost like a show/circus,,
"2022-01-25,22:40:37",FryingHamster,4,there can be frowning faces too,,
"2022-01-25,22:40:43",FryingHamster,4,but otherwise much improved,,
"2022-01-25,22:40:47",Fluffel,4,oh i could add some okok,,
"2022-01-25,22:40:54",Fluffel,4,i still really want to make it like a circus lolol,,
"2022-01-25,22:40:57",FryingHamster,4,"you could even make the faces bigger, they don't HAVE to be in scale",,
"2022-01-25,22:41:09",Fluffel,4,"oo defo, it makes it creepy ngl",,
"2022-01-25,23:03:46",FryingHamster,4,hopefully this doesn't influence your final piece but i took a stab at the social anxiety theme,,
"2022-01-25,23:03:56",FryingHamster,4,,https://cdn.discordapp.com/attachments/746160858555613356/935746856389050399/eric_sketch_for_gwen.jpg,FALSE
"2022-01-25,23:04:09",Fluffel,4,oh wait ngl that is a pretty cool idea,,
"2022-01-25,23:04:22",Fluffel,4,tbh it's a bit too late to influence it lol but tis very cool lol,,
"2022-01-25,23:04:32",FryingHamster,4,oh good that's what i wanted to hear,,
"2022-01-26,02:45:48",Fluffel,5,,https://cdn.discordapp.com/attachments/746160858555613356/935802692515803197/PXL_20220126_074501773.jpg,TRUE
"2022-01-26,02:45:48",Fluffel,5,"So here's where I'm gonna leave off tonight, i got it inked and am starting to render",,
"2022-01-26,02:46:10",Fluffel,5,I'm planning on doing a thing where I so more realistic rendering on the figure and go abstract for the crowd,,
"2022-01-26,11:38:37",FryingHamster,5,lookin sharp btw,,
"2022-01-26,11:39:09",FryingHamster,5,but make sure that void is PITCH BLACK because the contrast bt that and the very white masks is gonna make break your piece,,
"2022-01-26,12:49:45",Fluffel,5,Ohhhh ok,,
"2022-01-26,12:49:52",Fluffel,5,Ngl I kind of want to add red to it,,
"2022-01-26,12:49:55",Fluffel,5,Like the void lol,,
"2022-01-26,12:57:00",FryingHamster,5,you're the artist your choice,,
"2022-01-26,18:43:39",Fluffel,6,,https://cdn.discordapp.com/attachments/746160858555613356/936043742081744926/PXL_20220126_233220391.jpg,FALSE
"2022-01-26,18:43:39",Fluffel,6,So I got this far during school lol,,
"2022-01-26,22:26:54",FryingHamster,6,starting to take shape!,,
"2022-01-26,22:26:57",Fluffel,6,:D,,
"2022-01-26,22:27:04",FryingHamster,6,i like the hatching style you did for the hands,,
"2022-01-26,22:27:18",Fluffel,6,"ah that's good lol, i got a bit of crit for one hand lol",,
"2022-01-26,22:27:32",FryingHamster,6,was it the left one,,
"2022-01-26,22:27:37",Fluffel,6,yeah LOL,,
"2022-01-26,22:27:48",FryingHamster,6,dw about it,,
"2022-01-26,22:27:50",FryingHamster,6,"what you COULD try for the void is to do a mix of red and black like you want, take a good picture,",,
"2022-01-26,22:27:57",FryingHamster,6,and then color it pitch back,,
"2022-01-26,22:27:58",FryingHamster,6,black,,
"2022-01-26,22:28:02",Fluffel,6,that's exactly what i was gonna do it^^,,
"2022-01-26,22:28:05",Fluffel,6,well,,
"2022-01-26,22:28:11",Fluffel,6,i'm gonna thumbnail to see which one i like more,,
"2022-01-26,22:28:49",FryingHamster,6,the red could really sell social interaction as a personal hell kind of thing but it could also distract from the main figure which you need to understand the story,,
"2022-01-26,22:29:11",Fluffel,6,honestlyy,,
"2022-01-26,22:30:24",Fluffel,6,"ok here's the thing, i wanted to do like a vignette in the crowd in order to kind of center on the feet and right hand",,
"2022-01-26,22:30:35",Fluffel,6,ill do a thumb of it but i feel like it would defo help w/ comp,,
"2022-01-26,22:31:20",FryingHamster,6,"oh yeah definitely, do vignetting with both the detail of the faces as well as the darkness",,
"2022-01-26,22:31:24",Fluffel,6,oo yeah ^^,,
"2022-01-26,22:32:47",FryingHamster,6,man giving crit is so fun when you don't have to do the art itself LOL,,
"2022-01-26,22:32:58",Fluffel,6,bruhhhhhh,,
"2022-01-27,03:53:38",Fluffel,7,,https://cdn.discordapp.com/attachments/746160858555613356/936182152792522752/PXL_20220127_0852449992.jpg,TRUE
"2022-01-27,03:53:38",Fluffel,7,Leg fixes,,
"2022-01-27,03:53:45",Fluffel,7,Going to work on the vignette tomorrow lol,,
"2022-01-27,15:17:26",FryingHamster,7,very cool,,
"2022-01-27,21:53:08",Fluffel,8,,https://cdn.discordapp.com/attachments/746160858555613356/936453817501884426/IMG_1322.jpg,TRUE
"2022-01-27,21:53:08",Fluffel,8,"Added red in procreate to check stuff out, do you think I should do?",,
"2022-01-27,22:26:46",FryingHamster,8,ooh could worth trying,,
"2022-01-27,22:27:04",FryingHamster,8,but what i’m more worried about is that even the vignetting on the edges right now is very light,,
"2022-01-27,22:27:10",FryingHamster,8,this has to be a,,
"2022-01-27,22:27:12",FryingHamster,8,DARK,,
"2022-01-27,22:27:16",FryingHamster,8,void,,
"2022-01-27,22:27:34",FryingHamster,8,for the effect to work. right now i’m having trouble even separating the hands from the background,,
"2022-01-27,22:27:43",Fluffel,8,oh okok,,
"2022-01-27,22:27:52",Fluffel,8,yeah i thought that was weird as well,,
"2022-01-28,12:48:48",Fluffel,9,,https://cdn.discordapp.com/attachments/746160858555613356/936679219616940112/PXL_20220128_172938406.jpg,TRUE
"2022-01-28,18:18:36",FryingHamster,9,ok so,,
"2022-01-28,18:29:39",FryingHamster,9,squint your eyes at the pic you just sent me,,
"2022-01-28,18:29:56",FryingHamster,9,and tell me what you see in terms of value,,
"2022-01-28,18:43:40",Fluffel,9,Wdym in terms of value,,
"2022-01-28,18:43:42",Fluffel,9,Like,,
"2022-01-28,18:43:58",Fluffel,9,ik the hands do fade into the bg a bit,,
"2022-01-28,18:44:04",Fluffel,9,And so does the rope,,
"2022-01-28,18:44:18",Fluffel,9,But I think after adding in color it might pop it out,,
"2022-01-28,18:54:09",FryingHamster,9,if this were in real life would the pit down below be as bright as the main figure?,,
"2022-01-28,19:18:00",Fluffel,9,Ohhhh true true the pit would have a darker value,,
"2022-01-28,19:18:19",Fluffel,9,I was worried it wouldn't pop out as much but ur right lol,,
"2022-01-28,19:24:33",FryingHamster,9,here which one is more compelling,,
"2022-01-28,19:24:38",FryingHamster,9,,https://cdn.discordapp.com/attachments/746160858555613356/936778834345353277/IMG_3330.jpg,FALSE
"2022-01-28,19:24:38",FryingHamster,9,,https://cdn.discordapp.com/attachments/746160858555613356/936778834345353277/IMG_3330.jpg,FALSE
"2022-01-28,19:24:51",Fluffel,9,Oh prob second lol,,
"2022-01-28,19:26:30",FryingHamster,9,here i added the small ellipses as faces using the existing value above,,
"2022-01-28,19:26:33",FryingHamster,9,,https://cdn.discordapp.com/attachments/746160858555613356/936779315222302730/IMG_3332.jpg,FALSE
"2022-01-28,19:26:43",FryingHamster,9,and i added one more layer of value around the faces,,
"2022-01-28,19:26:52",Fluffel,9,Ahhh,,
"2022-01-28,19:26:56",FryingHamster,9,see the difference that the global value makes?,,
"2022-01-28,19:27:05",Fluffel,9,Yee,,
"2022-01-28,19:27:06",Fluffel,9,Ty!,,
"2022-01-28,19:27:25",FryingHamster,9,yessir,,
"2022-01-28,19:35:08",FryingHamster,9,one thing i’d do in procreate is to mask out just the figure and paint a layer of black just to see the difference it makes,,
"2022-01-28,19:35:28",Fluffel,9,I've done that a few times but I'll see,,
"2022-01-28,19:35:43",FryingHamster,9,i’m just trying to figure out how you’re gonna make the whole pit darkest,,
"2022-01-28,19:35:55",Fluffel,9,Yeah lol,,
"2022-01-28,19:35:59",FryingHamster,9,the current hatching looks nice so be careful about adding too many lines,,
"2022-01-28,22:38:37",Fluffel,9,^^ that was something I'm worried about,,
"2022-02-16,01:52:41",Fluffel,10,,https://cdn.discordapp.com/attachments/746160858555613356/943399472816345178/IMG_1383.jpg,TRUE
"2022-02-16,01:52:41",Fluffel,10,Darkening the crowd looks like this,,
"2022-02-16,01:52:47",Fluffel,10,What did you think,,
"2022-02-16,01:57:41",Fluffel,10,oh,,
"2022-02-16,01:57:41",Fluffel,10,Also,,
"2022-02-16,01:57:45",Fluffel,10,,https://cdn.discordapp.com/attachments/746160858555613356/943400746353852446/IMG_1386.png,TRUE
"2022-02-16,01:57:45",Fluffel,10,W color,,
"2022-02-16,08:21:58",FryingHamster,10,i think it’s a good start,,
"2022-02-16,08:22:22",FryingHamster,10,also consider darkening the edges of the crowd a ton more,,
"2022-02-16,08:22:31",FryingHamster,10,i’ll try it in procreate,,
"2022-02-16,09:20:51",Fluffel,10,Hmm maybe,,
"2022-02-16,09:21:12",Fluffel,10,But at the same time it takes focus from the crowd,,
"2022-02-16,10:36:44",Fluffel,10,I think I can probably use a brush pen to get the edges darker but,,
"2022-02-16,10:36:54",Fluffel,10,Do you think that will take away from the middle or add to it,,
"2022-02-16,14:32:49",FryingHamster,11,,https://cdn.discordapp.com/attachments/746160858555613356/943590763978162196/IMG_1383.jpg,TRUE
"2022-02-16,14:33:34",FryingHamster,11,also try playing around with the line weight around the main figure bc it’s still getting lost,,
"2022-02-16,14:33:39",FryingHamster,11,just don’t go too heavy handed,,
"2022-02-16,14:35:51",FryingHamster,11,,https://cdn.discordapp.com/attachments/746160858555613356/943591528897609748/IMG_1383.jpg,TRUE
"2022-02-16,14:36:19",FryingHamster,11,and this version is v rough but the horror esque glitch lines could work too? all up to you,,
"2022-02-16,14:44:51",FryingHamster,11,oh also i won’t mock this one up but you can consider rim lighting if you decide to add splashes of red to the crowd,,
"2022-02-16,18:40:22",Fluffel,11,Oh shiiii,,
"2022-02-16,18:40:26",Fluffel,11,Wait no that looks so good,,
"2022-02-16,18:40:28",Fluffel,11,Lemme go for it,,
"2022-02-16,18:42:49",FryingHamster,11,i charge 20% royalties,,
"2022-02-16,18:43:51",FryingHamster,11,this was your piece i just tweaked it a bit. all it needs is that polish and your idea can shine,,
"2022-02-17,05:23:37",Fluffel,12,,https://cdn.discordapp.com/attachments/746160858555613356/943814940978991144/PXL_20220217_1023018082.jpg,TRUE
"2022-02-17,05:23:37",Fluffel,12,Cleanup and value changes and I'll be done,,
"2022-02-17,09:21:04",FryingHamster,12,YES,,
"2022-02-17,09:21:14",FryingHamster,12,massive improvement,,
"2022-02-17,10:14:20",Fluffel,12,Yeeeeeeee,,
"2022-02-17,10:18:50",FryingHamster,12,unless you still want to tweak it i would just submit,,
"2022-02-17,10:33:13",Fluffel,12,I want to add a tiny bit of tweaking to the value but that's it,,
"2022-02-17,10:33:24",Fluffel,12,Just to pop up a couple faces,,
"2022-02-17,11:34:38",FryingHamster,12,for sure,,
"2022-02-19,16:13:51",Fluffel,13,,https://cdn.discordapp.com/attachments/746160858555613356/944703352749580319/PXL_20220218_1528354112.jpg,TRUE
"2022-02-19,16:13:51",Fluffel,13,Oh yess and not many changes but I'm finished now!,,
"2022-02-19,16:16:42",FryingHamster,13,nice nice nice,,
"2022-02-19,16:16:56",FryingHamster,13,i would leave it alone at this point otherwise you might start overworking it,,
"2022-02-19,16:17:06",Fluffel,13,Yeah im gonna go scan it in a bit,,
